,Predict
0,0.1327509891385819
1,-1.929735612246363
2,0.1194574879629874
3,0.8547517156956073
4,-0.6053641690822372
5,0.4124199557093783
6,-0.5851848412367787
7,0.3409957867249772
8,0.19941737944517907
9,-1.6492931760329737
10,0.306147533079648
11,0.6123674423050621
12,0.4189240366353771
13,0.993648336268285
14,0.4062415915760964
15,0.43546219093061045
16,-0.6343789080954654
17,0.4515000312565535
18,0.30508177528021346
19,0.5502008481755347
20,0.4181249241861166
21,0.11922817736561371
22,0.5935813564869207
23,0.7871190031065369
24,0.22527431894451327
25,0.5401763142261219
26,0.2278940180564239
27,-0.5913484306833393
28,0.3378028177045208
29,-0.8736297092476106
30,0.010006870999521987
31,-1.8673284004395494
32,0.361513015238372
33,0.5599009403884597
34,0.3102091158266634
35,0.404792759332672
36,0.6147274451249685
37,-0.3249998836008843
38,-0.3663252998594656
39,-0.9549237710896514
